YEAR	SITE	SITE_YR	PLOT_GL	Block	PLOT	GENO	ECOTYPE	TIME_SET	ADJ_FULL_JD	BIOMASS_AVG_Mg_ha	DLY7_PRCP_Totals	DLY7_TMAX_Avg	DLY7_TMIN_Avg	DLY7_Pen_PET	DLY14_PRCP_Totals	DLY14_TMAX_Avg	DLY14_TMIN_Avg	DLY14_Pen_PET	DLY30_PRCP_Totals	DLY30_TMAX_Avg	DLY30_TMIN_Avg	DLY30_Pen_PET	DLY60_PRCP_Totals	DLY60_TMAX_Avg	DLY60_TMIN_Avg	DLY60_Pen_PET	DLY90_PRCP_Totals	DLY90_TMAX_Avg	DLY90_TMIN_Avg	DLY90_Pen_PET	DLY120_PRCP_Totals	DLY120_TMAX_Avg	DLY120_TMIN_Avg	DLY120_Pen_PET	DLY150_PRCP_Totals	DLY150_TMAX_Avg	DLY150_TMIN_Avg	DLY150_Pen_PET	DLY180_PRCP_Totals	DLY180_TMAX_Avg	DLY180_TMIN_Avg	DLY180_Pen_PET	DLY210_PRCP_Totals	DLY210_TMAX_Avg	DLY210_TMIN_Avg	DLY210_Pen_PET	DLY240_PRCP_Totals	DLY240_TMAX_Avg	DLY240_TMIN_Avg	DLY240_Pen_PET	DLY270_PRCP_Totals	DLY270_TMAX_Avg	DLY270_TMIN_Avg	DLY270_Pen_PET	DLY365_PRCP_Totals	DLY365_TMAX_Avg	DLY365_TMIN_Avg	DLY365_Pen_PET
Y2017	IL	IL_17	IL.2E	IL.2	2E	Blackwell	Uplands	Harvest	IL117329	9.427598331	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.2F	IL.2	2F	Liberty	Hybrids	Harvest	IL117329	7.74925979	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3A	IL.3	3A	Blackwell	Uplands	Harvest	IL117329	10.91870597	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3B	IL.3	3B	CIR	Uplands	Harvest	IL117329	12.66823391	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3C	IL.3	3C	Liberty	Hybrids	Harvest	IL117329	7.774589104	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3D	IL.3	3D	Alamo	Lowlands	Harvest	IL117329	12.62023837	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3E	IL.3	3E	Kanlow	Lowlands	Harvest	IL117329	15.64664938	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.3F	IL.3	3F	Carthage	Hybrids	Harvest	IL117329	13.37081847	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4A	IL.4	4A	CIR	Uplands	Harvest	IL117329	11.92550331	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4B	IL.4	4B	Alamo	Lowlands	Harvest	IL117329	11.68269012	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4C	IL.4	4C	Kanlow	Lowlands	Harvest	IL117329	13.7778492	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4D	IL.4	4D	Liberty	Hybrids	Harvest	IL117329	7.820370991	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4E	IL.4	4E	Carthage	Hybrids	Harvest	IL117329	10.91080345	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.4F	IL.4	4F	Blackwell	Uplands	Harvest	IL117329	11.50371099	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5A	IL.5	5A	Kanlow	Lowlands	Harvest	IL117329	15.12634579	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5B	IL.5	5B	Liberty	Hybrids	Harvest	IL117329	7.737220503	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5C	IL.5	5C	Blackwell	Uplands	Harvest	IL117329	11.49066723	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5D	IL.5	5D	Carthage	Hybrids	Harvest	IL117329	12.49444843	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5E	IL.5	5E	CIR	Uplands	Harvest	IL117329	12.34852962	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	IL	IL_17	IL.5F	IL.5	5F	Alamo	Lowlands	Harvest	IL117329	12.97121767	16.51	7.357714286	-3.456142857	71.56610344	32.766	6.380357143	-2.514214286	51.22264865	48.26	6.846233333	-1.4428	54.78478591	320.548	13.81595	4.1095	84.90866903	337.312	17.91307778	6.741177778	100.4103992	377.19	19.98555833	8.478	108.2972527	540.004	21.57251333	10.0296	111.8756947	583.692	22.52553889	10.68417778	122.8385863	811.53	21.95293333	10.2192619	120.6311529	954.786	21.3545	9.556829167	119.2841547	1025.652	19.86378519	8.355337037	114.9367145	NA	NA	NA	NA
Y2017	MO	MO_17	MO.1A	MO.1	1A	Alamo	Lowlands	Harvest	MO117303	12.77109617	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.1B	MO.1	1B	Liberty	Hybrids	Harvest	MO117303	13.18690656	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.1C	MO.1	1C	Kanlow	Lowlands	Harvest	MO117303	16.57886041	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.1D	MO.1	1D	Blackwell	Uplands	Harvest	MO117303	11.76287468	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.1E	MO.1	1E	Carthage	Hybrids	Harvest	MO117303	12.56443725	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.1F	MO.1	1F	CIR	Uplands	Harvest	MO117303	8.911783664	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.2A	MO.2	2A	CIR	Uplands	Harvest	MO117303	8.960105109	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.2B	MO.2	2B	Carthage	Hybrids	Harvest	MO117303	10.49603595	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.2C	MO.2	2C	Liberty	Hybrids	Harvest	MO117303	10.67802213	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.2D	MO.2	2D	Kanlow	Lowlands	Harvest	MO117303	13.66946825	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
Y2017	MO	MO_17	MO.2E	MO.2	2E	Blackwell	Uplands	Harvest	MO117303	9.909979566	0.25	13	0.571428571	135.1995103	11.43	17.54285714	4.428571429	141.4764846	97.79	20.37666667	8.996666667	138.9985212	117.6	24.02166667	11.265	157.9804396	194.56	24.97444444	12.63888889	156.9665063	310.89	26.38166667	14.39166667	164.9609399	392.43	26.83466667	14.82066667	170.2420711	475.23	26.46611111	14.38722222	166.8364363	708.68	25.56571429	13.4652381	162.8303652	778.51	24.15625	12.27458333	156.3043249	799.33	23.03	10.91925926	151.7702242	909.312	18.94789286	7.316032967	131.0102548
