Plot,Transect,Sampling Date,SPP6,Number,MeanWeight,TotWeight
PFCA 1,3,2019-06-27,VEROSP,21,0.102,2.142
PFCA 1,3,2019-06-27,DICLAN,2,0.2403836666666667,0.4807673333333334
PFCA 1,3,2019-06-27,TRIPER,4,0.031640600000000005,0.12656240000000002
PFCA 1,3,2019-06-27,ERISPP,28,0.03275,0.917
PFCA 1,3,2019-06-27,GERCAR,2,2.60016,5.20032
PFCA 1,3,2019-06-27,MEDLUP,1,1.523170634920635,1.523170634920635
PFCA 1,3,2019-06-27,PLAVIR,11,0.3989142857142857,4.388057142857143
PFCA 1,3,2019-06-27,SETSPP,1,1.3855,1.3855
PFCA 1,3,2019-06-27,MYOVER,1,0.3651714285714286,0.3651714285714286
PFCA 1,3,2019-06-27,BARVUL,1,0.6333466666666666,0.6333466666666666
PFCA 1,4,2019-06-27,GERCAR,5,2.60016,13.000799999999998
PFCA 1,4,2019-06-27,SETSPP,2,1.3855,2.771
PFCA 1,4,2019-06-27,POAPRA,1,0.2459279172857143,0.2459279172857143
PFCA 1,4,2019-06-27,PLAVIR,9,0.3989142857142857,3.5902285714285713
PFCA 1,4,2019-06-27,SPHOBT,1,0.3955190476190476,0.3955190476190476
PFCA 1,4,2019-06-27,KUMSPP,1,1.6195276362083333,1.6195276362083333
PFCA 1,4,2019-06-27,CERSPP,2,0.1108952380952381,0.2217904761904762
PFCA 1,4,2019-06-27,ERISPP,14,0.03275,0.4585
PFCA 1,4,2019-06-27,MYOVER,4,0.3651714285714286,1.4606857142857144
PFCA 1,4,2019-06-27,ANAMIN,1,0.030752380952380948,0.030752380952380948
PFCA 1,4,2019-06-27,AMBART,1,3.30768,3.30768
PFCA 1,7,2019-06-27,TAROFF,1,0.6498571428571429,0.6498571428571429
PFCA 1,7,2019-06-27,POAPRA,6,0.2459279172857143,1.475567503714286
PFCA 1,7,2019-06-27,MYOVER,1,0.3651714285714286,0.3651714285714286
PFCA 1,7,2019-06-27,ERISPP,13,0.03275,0.42575
PFCA 1,6,2019-06-27,CAPBUR,12,0.09559444444444444,1.1471333333333333
PFCA 1,6,2019-06-27,VEROSP,30,0.102,3.0599999999999996
PFCA 1,6,2019-06-27,SETSPP,2,1.3855,2.771
PFCA 1,6,2019-06-27,PLAVIR,11,0.3989142857142857,4.388057142857143
PFCA 1,6,2019-06-27,MYOVER,20,0.3651714285714286,7.303428571428572
PFCA 1,6,2019-06-27,GALAPA,9,6.945674972,62.511074748
PFCA 1,6,2019-06-27,LEPVIR,1,0.4684666666666667,0.4684666666666667
PFCA 1,8,2019-06-27,ANAMIN,13,0.030752380952380948,0.39978095238095235
PFCA 1,8,2019-06-27,JUNSPP,11,0.008396666666666667,0.09236333333333334
PFCA 1,8,2019-06-27,MYOVER,13,0.3651714285714286,4.747228571428572
PFCA 1,8,2019-06-27,DIGISC,2,0.7629692333333333,1.5259384666666667
PFCA 1,8,2019-06-27,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 1,10,2019-06-27,JUNSPP,307,0.008396666666666667,2.577776666666667
PFCA 1,10,2019-06-27,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 1,10,2019-06-27,SETSPP,4,1.3855,5.542
PFCA 1,10,2019-06-27,ERISPP,7,0.03275,0.22925
PFCA 1,10,2019-06-27,VEROSP,5,0.102,0.51
PFCA 1,10,2019-06-27,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 1,10,2019-06-27,SPHOBT,3,0.3955190476190476,1.1865571428571429
PFCA 1,10,2019-06-27,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 1,9,2019-06-27,AMBART,1,3.30768,3.30768
PFCA 1,9,2019-06-27,VERHAS,1,0.23479999999999998,0.23479999999999998
PFCA 1,9,2019-06-27,DIGISC,1,0.7629692333333333,0.7629692333333333
PFCA 1,9,2019-06-27,OXADIL,1,0.1922,0.1922
PFCA 1,9,2019-06-27,SPHOBT,1,0.3955190476190476,0.3955190476190476
PFCA 1,9,2019-06-27,CERSPP,36,0.1108952380952381,3.992228571428572
PFCA 1,9,2019-06-27,BARVUL,6,0.6333466666666666,3.8000799999999995
PFCA 1,9,2019-06-27,PLAVIR,5,0.3989142857142857,1.9945714285714287
PFCA 1,9,2019-06-27,VEROSP,7,0.102,0.714
PFCA 1,9,2019-06-27,KOEMAC,1,0.23667,0.23667
PFCA 1,9,2019-06-27,ERISPP,1,0.03275,0.03275
PFCA 1,9,2019-06-27,MYOVER,1,0.3651714285714286,0.3651714285714286
PFCA 2,10,2019-06-27,JUNSPP,1824,0.008396666666666667,15.315520000000001
PFCA 2,10,2019-06-27,PYCTEN,1,0.07830793650793652,0.07830793650793652
PFCA 2,10,2019-06-27,ERISPP,4,0.03275,0.131
PFCA 2,10,2019-06-27,VEROSP,5,0.102,0.51
PFCA 2,10,2019-06-27,SPHOBT,3,0.3955190476190476,1.1865571428571429
PFCA 2,10,2019-06-27,POAPRA,1,0.2459279172857143,0.2459279172857143
PFCA 2,10,2019-06-27,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 2,10,2019-06-27,CARCEP,8,0.4802,3.8416
PFCA 2,10,2019-06-27,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 2,10,2019-06-27,FESARU,1,1.73,1.73
PFCA 2,1,2019-06-27,CARBUS,2,2.4875442857142858,4.9750885714285715
PFCA 2,1,2019-06-27,SPHOBT,103,0.3955190476190476,40.738461904761905
PFCA 2,1,2019-06-27,SETSPP,7,1.3855,9.6985
PFCA 2,1,2019-06-27,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 2,1,2019-06-27,OXADIL,1,0.1922,0.1922
PFCA 2,1,2019-06-27,ERISPP,5,0.03275,0.16375
PFCA 2,1,2019-06-27,MONFIS,1,0.3551962352499999,0.3551962352499999
PFCA 2,1,2019-06-27,BROJAP,4,1.65777,6.63108
PFCA 2,1,2019-06-27,VEROSP,1,0.102,0.102
PFCA 2,1,2019-06-27,PLAVIR,7,0.3989142857142857,2.7924
PFCA 2,2,2019-06-27,MEDLUP,2,1.523170634920635,3.04634126984127
PFCA 2,2,2019-06-27,MONFIS,2,0.3551962352499999,0.7103924704999998
PFCA 2,2,2019-06-27,CORLAN,8,1.3795757576666672,11.036606061333337
PFCA 2,2,2019-06-27,PLAVIR,1,0.3989142857142857,0.3989142857142857
PFCA 2,2,2019-06-27,BARVUL,1,0.6333466666666666,0.6333466666666666
PFCA 2,2,2019-06-27,SETSPP,2,1.3855,2.771
PFCA 2,2,2019-06-27,ERISPP,3,0.03275,0.09825
PFCA 2,2,2019-06-27,SPHOBT,23,0.3955190476190476,9.096938095238094
PFCA 2,4,2019-06-27,MEDLUP,4,1.523170634920635,6.09268253968254
PFCA 2,4,2019-06-27,JUNSPP,16,0.008396666666666667,0.13434666666666667
PFCA 2,4,2019-06-27,CERSPP,2,0.1108952380952381,0.2217904761904762
PFCA 2,4,2019-06-27,SETSPP,3,1.3855,4.156499999999999
PFCA 2,4,2019-06-27,PERLON,1,1.5,1.5
PFCA 2,4,2019-06-27,CORLAN,8,1.3795757576666672,11.036606061333337
PFCA 2,4,2019-06-27,BARVUL,3,0.6333466666666666,1.9000399999999997
PFCA 2,4,2019-06-27,RUMCRI,2,1.4590768971428572,2.9181537942857143
PFCA 2,4,2019-06-27,SPHOBT,30,0.3955190476190476,11.865571428571428
PFCA 2,4,2019-06-27,MONFIS,4,0.3551962352499999,1.4207849409999995
PFCA 2,4,2019-06-27,ERYYUC,1,3.903582083333333,3.903582083333333
PFCA 2,4,2019-06-27,ERISPP,3,0.03275,0.09825
PFCA 2,4,2019-06-27,CORPAL,1,2.0960750000000004,2.0960750000000004
PFCA 2,6,2019-06-27,ERISPP,4,0.03275,0.131
PFCA 2,6,2019-06-27,POAPRA,1,0.2459279172857143,0.2459279172857143
PFCA 2,6,2019-06-27,SPHOBT,17,0.3955190476190476,6.723823809523809
PFCA 2,8,2019-06-27,ERISPP,3,0.03275,0.09825
PFCA 2,8,2019-06-27,RATPIN,1,0.8603238096666666,0.8603238096666666
PFCA 2,8,2019-06-27,POAPRA,7,0.2459279172857143,1.7214954210000002
PFCA 2,8,2019-06-27,FESARU,8,1.73,13.84
PFCA 2,8,2019-06-27,PLAVIR,3,0.3989142857142857,1.196742857142857
PFCA 2,8,2019-06-27,SPHOBT,59,0.3955190476190476,23.33562380952381
PFCA 2,8,2019-06-27,OXADIL,1,0.1922,0.1922
PFCA 2,8,2019-06-27,CERSPP,1,0.1108952380952381,0.1108952380952381
PFCA 2,8,2019-06-27,CARBUS,8,2.4875442857142858,19.900354285714286
PFCA 2,8,2019-06-27,SETSPP,1,1.3855,1.3855
PFCA 2,7,2019-06-27,SPHOBT,147,0.3955190476190476,58.1413
PFCA 2,7,2019-06-27,ERISPP,1,0.03275,0.03275
PFCA 2,7,2019-06-27,POAPRA,4,0.2459279172857143,0.9837116691428572
PFCA 2,7,2019-06-27,CARBUS,1,2.4875442857142858,2.4875442857142858
PFCA 2,5,2019-06-27,CARBUS,1,2.4875442857142858,2.4875442857142858
PFCA 2,5,2019-06-27,MONFIS,1,0.3551962352499999,0.3551962352499999
PFCA 2,5,2019-06-27,POAPRA,3,0.2459279172857143,0.737783751857143
PFCA 2,5,2019-06-27,CORPAL,5,2.0960750000000004,10.480375000000002
PFCA 2,5,2019-06-27,CORLAN,25,1.3795757576666672,34.48939394166668
PFCA 2,5,2019-06-27,ERISPP,34,0.03275,1.1135000000000002
PFCA 2,5,2019-06-27,SPHOBT,134,0.3955190476190476,52.99955238095238
PFCA 2,5,2019-06-27,JUNSPP,671,0.008396666666666667,5.634163333333333
PFCA 2,3,2019-06-27,SPHOBT,200,0.3955190476190476,79.10380952380952
PFCA 2,3,2019-06-27,ERISPP,12,0.03275,0.393
PFCA 2,3,2019-06-27,PLAVIR,7,0.3989142857142857,2.7924
PFCA 2,3,2019-06-27,SETSPP,1,1.3855,1.3855
PFCA 2,3,2019-06-27,CORPAL,7,2.0960750000000004,14.672525000000002
PFCA 2,3,2019-06-27,MONFIS,5,0.3551962352499999,1.7759811762499993
PFCA 2,3,2019-06-27,HORPUS,6,3.1664000000000003,18.998400000000004
PFCA 2,3,2019-06-27,VEROSP,2,0.102,0.204
PFCA 2,3,2019-06-27,UNKFRB22,1,,
PFCA 2,3,2019-06-27,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 2,3,2019-06-27,CERSPP,6,0.1108952380952381,0.6653714285714286
PFCA 2,3,2019-06-27,CORLAN,12,1.3795757576666672,16.554909092000006
PFCA 2,9,2019-06-27,MONFIS,5,0.3551962352499999,1.7759811762499993
PFCA 2,9,2019-06-27,ERISPP,1,0.03275,0.03275
PFCA 2,9,2019-06-27,PLAVIR,3,0.3989142857142857,1.196742857142857
PFCA 2,9,2019-06-27,POAPRA,35,0.2459279172857143,8.607477105000001
PFCA 2,9,2019-06-27,SPHOBT,147,0.3955190476190476,58.1413
PFCA 3,5,2019-06-27,UNKFRB13,1,,
PFCA 3,5,2019-06-27,JUNSPP,1020,0.008396666666666667,8.5646
PFCA 3,5,2019-06-27,AGRHYE,144,0.04116984126984127,5.928457142857143
PFCA 3,5,2019-06-27,OXADIL,1,0.1922,0.1922
PFCA 3,6,2019-06-27,TRAOHI,1,3.368574523809524,3.368574523809524
PFCA 3,6,2019-06-27,SPHOBT,39,0.3955190476190476,15.425242857142857
PFCA 3,6,2019-06-27,JUNSPP,623,0.008396666666666667,5.231123333333334
PFCA 3,6,2019-06-27,PLAVIR,2,0.3989142857142857,0.7978285714285714
PFCA 3,6,2019-06-27,AGRHYE,236,0.04116984126984127,9.71608253968254
PFCA 3,6,2019-06-27,MYOVER,1,0.3651714285714286,0.3651714285714286
PFCA 3,6,2019-06-27,ACHMIL,1,0.2219908636428572,0.2219908636428572
PFCA 3,4,2019-06-27,JUNSPP,1804,0.008396666666666667,15.147586666666667
PFCA 3,4,2019-06-27,POAPRA,4,0.2459279172857143,0.9837116691428572
PFCA 3,4,2019-06-27,ACHMIL,13,0.2219908636428572,2.8858812273571437
PFCA 3,4,2019-06-27,AGRHYE,62,0.04116984126984127,2.5525301587301588
PFCA 3,10,2019-06-27,CARFES,2,0.8268,1.6536
PFCA 3,10,2019-06-27,TRAOHI,28,3.368574523809524,94.32008666666667
PFCA 3,10,2019-06-27,CARBUS,7,2.4875442857142858,17.41281
PFCA 3,10,2019-06-27,AGRHYE,5,0.04116984126984127,0.20584920634920637
PFCA 3,10,2019-06-27,JUNSPP,22,0.008396666666666667,0.18472666666666668
PFCA 3,9,2019-06-27,AGRHYE,64,0.04116984126984127,2.6348698412698415
PFCA 3,9,2019-06-27,MYOVER,2,0.3651714285714286,0.7303428571428572
PFCA 3,9,2019-06-27,TRAOHI,2,3.368574523809524,6.737149047619048
PFCA 3,9,2019-06-27,JUNSPP,14,0.008396666666666667,0.11755333333333334
PFCA 3,9,2019-06-27,SPHOBT,11,0.3955190476190476,4.350709523809524
PFCA 3,7,2019-06-27,CARFES,41,0.8268,33.8988
PFCA 3,7,2019-06-27,SPHOBT,2,0.3955190476190476,0.7910380952380952
PFCA 3,7,2019-06-27,CARBUS,1,2.4875442857142858,2.4875442857142858
PFCA 3,7,2019-06-27,AGRHYE,17,0.04116984126984127,0.6998873015873016
PFCA 3,2,2019-06-27,SPHOBT,10,0.3955190476190476,3.955190476190476
PFCA 3,2,2019-06-27,JUNSPP,4,0.008396666666666667,0.03358666666666667
PFCA 3,3,2019-06-27,CARBUS,1,2.4875442857142858,2.4875442857142858
PFCA 3,3,2019-06-27,SPHOBT,8,0.3955190476190476,3.164152380952381
PFCA 3,3,2019-06-27,CARFES,15,0.8268,12.402
PFCA 3,3,2019-06-27,TRAOHI,33,3.368574523809524,111.1629592857143
